"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20191101 ~ 20201031"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 호탄동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금 (만원)","종전계약 월세 (만원)"
"경상남도 진주시 호탄동","9**","25m미만","33","월세","202002","27","200","30","2012","강변길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","202006","27","300","33","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","201911","27","500","33","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","월세","202002","27","1,200","30","2011","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202001","28","300","31","2008","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202005","30","300","33","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","33","월세","202008","30","300","33","2005","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","월세","202007","31","500","31","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","전세","202006","3","4,000","0","2001","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","전세","202008","6","3,000","0","2002","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","33","전세","202002","7","4,000","0","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","전세","202006","8","6,000","0","2013","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","33","전세","202010","20","5,000","0","2001","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","전세","202006","26","4,000","0","2004","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","전세","202005","26","6,000","0","2013","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","33","전세","202007","29","4,000","0","2002","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","전세","202004","29","4,500","0","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","전세","202004","29","4,500","0","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","33","전세","202001","30","4,000","0","2007","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33","전세","202008","31","4,000","0","2012","호탄길34번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","33.33","월세","201912","8","500","32","2006","가호로","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","34","월세","201911","21","3,500","15","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","35","월세","202004","2","500","37","null","호탄길14번길","-","-","-","",""
"경상남도 진주시 호탄동","8**","8m미만","35","월세","202002","4","300","35","2014","가호방아길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","35","월세","201912","7","500","45","2016","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","35","월세","202005","9","1,500","40","2016","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","12m미만","35","월세","202003","24","300","40","2016","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","36","월세","202009","12","6,000","15","2002","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","36","전세","201912","6","5,000","0","2007","가호로","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","36.3","월세","202002","27","1,000","30","2011","강변길10번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","36.3","전세","201912","20","5,000","0","2003","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","36.3","전세","201912","20","6,000","0","2002","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","38.5","전세","201912","8","5,500","0","2008","호탄길21번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","25m미만","39","월세","202001","19","500","38","2016","호탄길22번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","-","39.6","전세","201912","19","6,000","0","2012","null","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","40","월세","202005","8","1,000","40","2008","호탄길28번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","40","월세","202007","10","2,000","34","2016","호탄길27번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","40","월세","202007","16","1,000","40","2018","호탄길9번길","-","-","-","",""
"경상남도 진주시 호탄동","6**","8m미만","40","월세","202001","21","500","53","2007","호탄길13번길","-","-","-","",""
"경상남도 진주시 호탄동","9**","12m미만","40","월세","202001","22","1,000","42","2018","가호로61번길","-","-","-","",""
