시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명,경도,위도,year,month,location,전월세전환율,전세전환가격,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
경상남도 진주시 가좌동,4**,12,21,월세,202202,7,1000,28,2010,개양로6번길,128.1088389,35.1551106,2022,2,경상남도 진주시 가좌동 개양로6번길,4.3,8814,경상남도 진주시 가좌동 개양로6번길,128.1088389,35.1551106,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로6번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,21,월세,202202,18,300,30,2017,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,21,월세,202202,18,300,30,2018,가좌길48번길,128.1061209,35.158214,2022,2,경상남도 진주시 가좌동 가좌길48번길,4.3,8672,경상남도 진주시 가좌동 가좌길48번길,128.1061209,35.158214,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길48번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,21,전세,202202,5,4500,0,2018,진주대로404번길,128.1023995,35.1579107,2022,2,경상남도 진주시 가좌동 진주대로404번길,4.3,4500,경상남도 진주시 가좌동 진주대로404번길,128.1033275,35.1452897,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 진주대로404번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,21.3,월세,202202,8,300,30,2011,가좌안골길24번길,128.1075512,35.1524345,2022,2,경상남도 진주시 가좌동 가좌안골길24번길,4.3,8672,경상남도 진주시 가좌동 가좌안골길24번길,128.1075512,35.1524345,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌안골길24번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,21.3,월세,202202,12,300,30,2009,개양로6번길,128.1088389,35.1551106,2022,2,경상남도 진주시 가좌동 개양로6번길,4.3,8672,경상남도 진주시 가좌동 개양로6번길,128.1088389,35.1551106,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로6번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,5**,12,21.3,전세,202202,22,5000,0,2011,진주대로500번길,128.1048819,35.150661,2022,2,경상남도 진주시 가좌동 진주대로500번길,4.3,5000,경상남도 진주시 가좌동 진주대로500번길,128.1048819,35.150661,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 진주대로500번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,22,월세,202202,18,300,30,2019,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,23,월세,202202,10,200,38,2008,개양로13번길,128.1085555,35.1565802,2022,2,경상남도 진주시 가좌동 개양로13번길,4.3,10805,경상남도 진주시 가좌동 개양로13번길,128.1085555,35.1565802,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 개양로13번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,8**,8,23,월세,202202,12,4500,3,2015,가좌길29번길,128.0998978,35.158679,2022,2,경상남도 진주시 가좌동 가좌길29번길,4.3,5337,경상남도 진주시 가좌동 가좌길29번길,128.0998978,35.158679,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길29번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,23,월세,202202,26,300,30,2012,가좌길36번길,128.1059656,35.1569611,2022,2,경상남도 진주시 가좌동 가좌길36번길,4.3,8672,경상남도 진주시 가좌동 가좌길36번길,128.1059656,35.1569611,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길36번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,23,전세,202202,5,5000,0,2017,진주대로404번길,128.1023995,35.1579107,2022,2,경상남도 진주시 가좌동 진주대로404번길,4.3,5000,경상남도 진주시 가좌동 진주대로404번길,128.1033275,35.1452897,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 진주대로404번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,23.1,월세,202202,21,300,35,2014,가좌길60번길,128.1061876,35.158872,2022,2,경상남도 진주시 가좌동 가좌길60번길,4.3,10067,경상남도 진주시 가좌동 가좌길60번길,128.1061876,35.158872,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길60번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,25,23.1,월세,202202,24,200,34,2016,가좌길74번길,128.1065401,35.1598001,2022,2,경상남도 진주시 가좌동 가좌길74번길,4.3,9688,경상남도 진주시 가좌동 가좌길74번길,128.1065401,35.1598001,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길74번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,12,23.79,월세,202202,9,4000,10,2010,진주대로404번길,128.1023995,35.1579107,2022,2,경상남도 진주시 가좌동 진주대로404번길,4.3,6791,경상남도 진주시 가좌동 진주대로404번길,128.1033275,35.1452897,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 진주대로404번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,8,24,월세,202202,13,300,30,2017,가좌길40번길,128.1058894,35.157466,2022,2,경상남도 진주시 가좌동 가좌길40번길,4.3,8672,경상남도 진주시 가좌동 가좌길40번길,128.1058894,35.157466,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길40번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,1***,25,24,월세,202202,25,300,30,1989,가좌길74번길,128.1065401,35.1598001,2022,2,경상남도 진주시 가좌동 가좌길74번길,4.3,8672,경상남도 진주시 가좌동 가좌길74번길,128.1065401,35.1598001,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌길74번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
경상남도 진주시 가좌동,4**,12,24,월세,202202,26,200,25,2008,가좌안골길10번길,128.1069924,35.1531471,2022,2,경상남도 진주시 가좌동 가좌안골길10번길,4.3,7177,경상남도 진주시 가좌동 가좌안골길10번길,128.1069924,35.1531471,도로중심좌표,48170,새주소,경상남도 진주시 가좌동 가좌안골길10번길,경상남도 진주시 가좌동,NULL,,,4817013100,가좌동
