,도로조건,계약면적(㎡),건축년도,year,month,coivd,price_per_m2,전월세구분_월세,전월세구분_전세
257,12,86.41,1983,2019,10,0,119.10658488600856,True,False
258,8,25.0,2010,2019,2,0,255.28,True,False
259,8,92.56,1992,2019,6,0,54.32152117545376,True,False
260,12,120.89,1987,2019,11,0,66.1758623542063,False,True
261,8,90.22,1998,2019,3,0,55.42008423852804,False,True
262,8,20.0,1998,2019,11,0,595.6,True,False
263,12,89.86,1982,2019,1,0,93.7569552637436,True,False
264,12,103.27,1990,2019,5,0,72.89629127529777,True,False
265,8,165.42,1998,2019,8,0,66.7694353766171,True,False
266,8,10.32,1983,2019,10,0,316.27906976744185,True,False
267,8,29.75,1954,2019,8,0,184.87394957983193,False,True
268,12,30.0,2011,2019,12,0,197.83333333333334,True,False
269,12,33.0,2011,2019,9,0,203.6969696969697,True,False
270,8,33.05,1979,2019,5,0,105.77912254160364,True,False
271,8,35.79,1991,2019,12,0,120.14529198100028,True,False
272,8,36.69,1973,2019,4,0,104.19732897247206,True,False
273,8,38.35,1967,2019,9,0,228.89178617992175,True,False
274,12,39.66,2017,2019,8,0,202.16843166918812,True,False
275,12,40.0,2018,2019,12,0,154.4,True,False
276,8,40.0,1970,2019,1,0,69.1,True,False
277,12,40.0,2018,2019,7,0,155.55,True,False
278,12,45.54,2002,2019,11,0,147.25516029863857,True,False
279,12,45.74,2000,2019,2,0,169.63270660253608,True,False
280,8,46.08,2003,2019,11,0,115.6467013888889,True,False
281,8,48.0,1991,2019,10,0,115.16666666666667,True,False
282,25,48.75,2018,2019,9,0,148.14358974358976,True,False
283,12,50.0,2017,2019,3,0,242.36,True,False
284,8,50.0,2003,2019,2,0,127.64,True,False
285,8,54.0,1992,2019,3,0,134.25925925925927,False,True
286,8,54.0,1992,2019,3,0,134.25925925925927,False,True
287,12,55.42,1991,2019,12,0,72.17610970768675,False,True
288,12,56.1,2019,2019,2,0,160.42780748663102,False,True
289,12,56.1,2017,2019,11,0,160.42780748663102,False,True
290,8,57.24,2002,2019,2,0,38.015373864430465,True,False
291,8,59.3,1980,2019,10,0,151.77065767284992,False,True
