,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명,경도,위도,year,month,location,전월세전환율,전세전환가격,coivd,price_per_m2,gnu_distance,전월세구분_월세,전월세구분_전세
66,경상남도 진주시 가좌동,5**,12,25.0,201902,7,500,40,2011,진주대로500번길,128.1059656,35.1569611,2019,2,경상남도 진주시 가좌동 진주대로500번길,5.1,9912,0,396.48,0.6214155116249331,True,False
67,경상남도 진주시 가좌동,1***,12,25.0,201901,8,200,35,2006,가좌길64번길,128.1060436,35.1578174,2019,1,경상남도 진주시 가좌동 가좌길64번길,5.3,8125,0,325.0,0.6960564860685696,True,False
68,경상남도 진주시 가좌동,5**,12,25.0,201912,8,300,38,2010,진주대로500번길,128.1059656,35.1569611,2019,12,경상남도 진주시 가좌동 진주대로500번길,5.1,9241,0,369.64,0.6214155116249331,True,False
69,경상남도 진주시 가좌동,1***,8,25.0,201908,8,1500,30,1991,가좌길44번길,128.1059656,35.1569611,2019,8,경상남도 진주시 가좌동 가좌길44번길,5.5,8045,0,321.8,0.6214155116249331,True,False
70,경상남도 진주시 가좌동,5**,12,25.0,201912,9,500,38,2008,내동로348번길,128.1048819,35.150661,2019,12,경상남도 진주시 가좌동 내동로348번길,5.1,9441,0,377.64,0.4348472439529899,True,False
71,경상남도 진주시 가좌동,1***,8,25.0,201908,11,2000,28,2013,내동로320번길,128.1084984,35.1549036,2019,8,경상남도 진주시 가좌동 내동로320번길,5.5,8109,0,324.36,0.7045482910871802,True,False
72,경상남도 진주시 가좌동,1***,12,25.0,201910,12,100,28,2006,진주대로404번길,128.1088389,35.1551106,2019,10,경상남도 진주시 가좌동 진주대로404번길,5.3,6440,0,257.6,0.7410075237631446,True,False
73,경상남도 진주시 가좌동,4**,12,25.0,201902,12,300,38,2010,개양로13번길,128.1020264,35.149158,2019,2,경상남도 진주시 가좌동 개양로13번길,5.1,9241,0,369.64,0.44045581996382116,True,False
74,경상남도 진주시 가좌동,4**,12,25.0,201902,13,400,30,2018,개양로6번길,128.1058894,35.157466,2019,2,경상남도 진주시 가좌동 개양로6번길,5.1,7459,0,298.36,0.6573556463088326,True,False
75,경상남도 진주시 가좌동,1***,8,25.0,201912,13,2000,25,2009,가좌길44번길,128.1033275,35.1452897,2019,12,경상남도 진주시 가좌동 가좌길44번길,5.1,7882,0,315.28,0.8859574724741465,True,False
76,경상남도 진주시 가좌동,1***,12,25.0,201907,14,100,30,2012,진주대로404번길,128.1048819,35.150661,2019,7,경상남도 진주시 가좌동 진주대로404번길,5.4,6767,0,270.68,0.4348472439529899,True,False
77,경상남도 진주시 가좌동,5**,12,25.0,201912,15,500,38,2010,진주대로500번길,128.1048819,35.150661,2019,12,경상남도 진주시 가좌동 진주대로500번길,5.1,9441,0,377.64,0.4348472439529899,True,False
78,경상남도 진주시 가좌동,4**,12,25.0,201902,15,500,40,2011,개양로6번길,128.1048819,35.150661,2019,2,경상남도 진주시 가좌동 개양로6번길,5.1,9912,0,396.48,0.4348472439529899,True,False
79,경상남도 진주시 가좌동,7**,8,25.0,201902,16,300,35,2008,진주대로647번길,128.1048819,35.150661,2019,2,경상남도 진주시 가좌동 진주대로647번길,5.1,8535,0,341.4,0.4348472439529899,True,False
80,경상남도 진주시 가좌동,4**,12,25.0,201902,16,500,35,2015,개양로13번길,128.1062979,35.1592505,2019,2,경상남도 진주시 가좌동 개양로13번길,5.1,8735,0,349.4,0.8368933157814341,True,False
81,경상남도 진주시 가좌동,1***,8,25.0,201902,16,8000,5,2013,내동로320번길,128.1060436,35.1578174,2019,2,경상남도 진주시 가좌동 내동로320번길,5.1,9176,0,367.04,0.6960564860685696,True,False
82,경상남도 진주시 가좌동,1***,12,25.0,201903,17,100,25,2007,진주대로404번길,128.1033275,35.1452897,2019,3,경상남도 진주시 가좌동 진주대로404번길,5.1,5982,0,239.28,0.8859574724741465,True,False
83,경상남도 진주시 가좌동,4**,12,25.0,201912,18,200,34,2007,진주대로568번길,128.0998978,35.158679,2019,12,경상남도 진주시 가좌동 진주대로568번길,5.1,8200,0,328.0,0.6358430325214474,True,False
84,경상남도 진주시 가좌동,1***,12,25.0,201902,18,300,31,2006,진주대로404번길,128.1065401,35.1598001,2019,2,경상남도 진주시 가좌동 진주대로404번길,5.1,7594,0,303.76,0.8998915556844954,True,False
85,경상남도 진주시 가좌동,5**,12,25.0,201912,19,500,33,2010,진주대로500번길,128.1088389,35.1551106,2019,12,경상남도 진주시 가좌동 진주대로500번길,5.1,8265,0,330.6,0.7410075237631446,True,False
86,경상남도 진주시 가좌동,1***,8,25.0,201912,20,300,41,2011,가좌길60번길,128.1048819,35.150661,2019,12,경상남도 진주시 가좌동 가좌길60번길,5.1,9947,0,397.88,0.4348472439529899,True,False
87,경상남도 진주시 가좌동,4**,12,25.0,201908,20,300,39,2010,개양로13번길,128.1065401,35.1598001,2019,8,경상남도 진주시 가좌동 개양로13번길,5.5,8809,0,352.36,0.8998915556844954,True,False
88,경상남도 진주시 가좌동,1***,12,25.0,201902,20,2000,23,2014,진주대로404번길,128.1088389,35.1551106,2019,2,경상남도 진주시 가좌동 진주대로404번길,5.1,7412,0,296.48,0.7410075237631446,True,False
89,경상남도 진주시 가좌동,4**,12,25.0,201907,21,300,37,2006,가좌안골길14번길,128.1047572,35.1646965,2019,7,경상남도 진주시 가좌동 가좌안골길14번길,5.4,8522,0,340.88,1.3378594971723488,True,False
