"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121101 ~ 20131101"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","119.1174","201212","28","33,300","6","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","119.1174","201301","22","32,700","2","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","100.3166","201302","1","28,951","9","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","84.9982","201302","7","25,800","15","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","119.1174","201302","13","33,300","4","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","100.3166","201303","4","30,000","21","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","100.3166","201304","1","29,900","13","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","84.9982","201304","16","25,000","15","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","77.8216","201305","16","22,000","3","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","119.1174","201308","1","36,000","7","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","1936","1936","0000","가호에일린의뜰","77.8216","201310","21","22,760","5","2012","강변길 31","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201211","14","19,400","3","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201211","29","19,000","3","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201212","8","19,000","6","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201212","17","19,000","8","2007","진주대로 652-15","","-","-"
"경상남도 진주시 가좌동","721-1","0721","0001","대화리네르빌","82.3136","201212","21","19,000","3","2007","진주대로 652-15","","-","-"
